project_id,phase,title,description,weight,status,completed_by,completed_at,completed_by_role,applicable_technologies,applicable_site_types,notes,order,id,created_date,updated_date,created_by_id,is_sample
"695ffd098e18547fcd82632e","ux_design","fase 2","description","medium","completed","paul.montoya@antpack.co","2026-02-09T19:23:38.740Z","ceo_antpack","[""all""]","[""all""]","","9992","698a34378f6a728ff91a87e4","2026-02-09T19:23:35.141000","2026-02-09T19:23:38.162000","698a1fcd731209c0b7b4977c","false"
"6978ad6fdba5eb8f048ab087","ux_design","Item 1","Una descripcion","low","pending","","","","[""all""]","[""all""]","","9991","698a32b6494fdb109addcb40","2026-02-09T19:17:10.232000","2026-02-09T19:17:10.232000","698a1fcd731209c0b7b4977c","false"
"6978ad6fdba5eb8f048ab087","qa","Cross-browser testing completado","","high","pending","","","","[""all""]","[""all""]","","1","69796a28276c17c33e560dce","2026-01-28T01:45:12.859000","2026-01-28T01:45:12.859000","6940670cff749d8ea0c5d536","false"
"6978ad6fdba5eb8f048ab087","qa","Contenido revisado (ortografía y gramática)","","medium","pending","","","","[""all""]","[""all""]","","5","69796a28276c17c33e560dd1","2026-01-28T01:45:12.859000","2026-01-28T01:45:12.859000","6940670cff749d8ea0c5d536","false"
"6978ad6fdba5eb8f048ab087","qa","Conversiones trackeadas correctamente","","high","pending","","","","[""all""]","[""all""]","","6","69796a28276c17c33e560dd2","2026-01-28T01:45:12.859000","2026-01-28T01:45:12.859000","6940670cff749d8ea0c5d536","false"
"6978ad6fdba5eb8f048ab087","delivery","Aprobación final del cliente","","critical","pending","","","","[""all""]","[""all""]","","5","69796a28276c17c33e560dd9","2026-01-28T01:45:12.859000","2026-01-28T01:45:12.859000","6940670cff749d8ea0c5d536","false"
"6978ad6fdba5eb8f048ab087","qa","Accesibilidad – Contraste de colores WCAG","","high","pending","","","","[""all""]","[""all""]","","7","69796a28276c17c33e560dd3","2026-01-28T01:45:12.859000","2026-01-28T01:45:12.859000","6940670cff749d8ea0c5d536","false"
"6978ad6fdba5eb8f048ab087","delivery","Plan de mantenimiento acordado","","medium","pending","","","","[""all""]","[""all""]","","4","69796a28276c17c33e560dd8","2026-01-28T01:45:12.859000","2026-01-28T01:45:12.859000","6940670cff749d8ea0c5d536","false"
"6978ad6fdba5eb8f048ab087","qa","Links verificados (no rotos)","","high","pending","","","","[""all""]","[""all""]","","2","69796a28276c17c33e560dcf","2026-01-28T01:45:12.859000","2026-01-28T01:45:12.859000","6940670cff749d8ea0c5d536","false"
"6978ad6fdba5eb8f048ab087","qa","Formularios testeados end-to-end","","critical","pending","","","","[""all""]","[""all""]","","3","69796a28276c17c33e560dd0","2026-01-28T01:45:12.859000","2026-01-28T01:45:12.859000","6940670cff749d8ea0c5d536","false"
"6978ad6fdba5eb8f048ab087","qa","Accesibilidad – Navegación por teclado","","medium","pending","","","","[""all""]","[""all""]","","8","69796a28276c17c33e560dd4","2026-01-28T01:45:12.859000","2026-01-28T01:45:12.859000","6940670cff749d8ea0c5d536","false"
"6978ad6fdba5eb8f048ab087","delivery","Documentación entregada","","high","pending","","","","[""all""]","[""all""]","","1","69796a28276c17c33e560dd5","2026-01-28T01:45:12.859000","2026-01-28T01:45:12.859000","6940670cff749d8ea0c5d536","false"
